点赞数,转发数,预估销售额,BGM名称
17.4w,"2,707",40.1w,AC/DC - Back In Black
3.7w,"1,004",11.1w,孤芳自赏
3.8w,211,"1,122.2w",Shiva Mahimna Stotram
1.9w,"2,111",10.8w,不配怀念
18.6w,"1,591",17.6w,Paint it black
1.5w,222,11.9w,关山酒
"2,854",260,4.9w,爱 存在
"2,159",48,1.2w,斗地主背景音乐-愿愿
"6,620",248,3w,胖子多棒
"9,366",133,2.3w,旧梦一场-周森
"4,519",132,4.6w,大田后生仔
"5,972",109,7.3w,我的天空-刘至佳
"6,156",201,10.6w,Lutra-太一
"5,527",53,1.3w,像风一样自由-谭艳
"1,793",36,4.2w,都来发-任静、付笛声、付豪
"3,411",50,1.8w,安河桥-广东水神
"1,415",55,1w,变熊乳牛-Tom-H@ck
28.3w,467,2.5w,真有Freestyle-BB-EIGHT
"2,209",31,3.2w,同样-阿具
3.8w,"2,028",2.7w,快乐老家-陈明
930,11,6204,哎呀呀-小艾与花儿乐队
15.6w,494,21.8w,骑上我心爱的小摩托
1.5w,110,8278,Maria-69
3w,662,3.1w,Yosemite-吴司令
4.8w,1964,24.7w,下个路口见
8.1w,1971,11.3w,胖子多棒
2.9w,215,4273,P.I.M.P
3.6w,2137,30.9w,夜空中最亮的星
175.2w,6974,26.2w,当她哭的那一刻就是我的错
7.2w,1075,8.5w,鬼妻
8588,218,9.2w,羞答答的玫瑰静悄悄地开-杨胖雨
1.2w,148,4.3w,鸡鸣狗叫-远方的家乡
10w,184,4w,牛在飞
1.7w,617,3.8w,对面的小姐姐-崔伟立
1.4w,526,2.4w,爱上你的优缺点
11.4w,5112,6.8w,快乐老家-陈明
1.7w,460,6.6w,此情一直在心间
3171,133,5272,真没睡
3.5w,1247,7.5w,我还年轻 我还年轻
4554,174,6.3w,开始懂了-藤竹京
2.8w,1391,3.4w,半壶纱-刘珂矣
2114,63,1.6w,真实的色彩-蒋婴
1.1w,252,4.6w,不是因为寂寞才想你-小阿枫
7388,96,2.6w,夏日炎炎有你超甜
2.1w,171,1.4w,Maria-华莎
8235,91,2.3w,斗地主背景音乐-愿愿
1.7w,330,5.7w,毗卢遮那佛咒
2.5w,329,4.9w,鬼火的童
3.3w,741,7.9w,驴友之歌
1.5w,660,4.2w,夏天里的一把火
4.3w,"3,232",6.9w,爱 存在
"9,692",107,11.3w,梦草原
"5,094",81,1.9w,旧梦一场
"1,790",13,"2,538.40",Maria-华莎
"1,731",12,3.2w,小鹿乱撞
1.7w,296,6w,改写人生-苏谭谭
1.2w,74,2w,鸟鸣声-纯音乐
1.4w,296,4.1w,微笑吧-香子
2.7w,679,5.9w,你是我永远的痛-陈瑞、崔伟立
"6,920",151,3.8w,别在我离开你之前离开我-江美琪
"1,718",22,2.6w,你在我心里无人能够代替-暴林
"1,433",72,"8,671.32",公鸡打鸣交响曲-群星
"1,684",79,"9,044.00",第二杯半价
"7,518",543,2.3w,All Nite All Day
1.8w,351,8.2w,Capri
1.5w,442,16w,莫问归期-蒋雪儿
7.1w,989,4w,背对背拥抱-苏鹤、萌妹
2.3w,361,6w,星月糖
4417,92,6.6w,你莫走
8502,218,8.7w,2020女生最火翻唱
3.5w,297,2.5w,桃花诺
1w,474,5w,爱江山更爱美人
5w,128,3.8w,Phonecert
9.5w,1008,3w,大家一起来
5759,104,5.2w,最天使
1769,26,7.2w,沉默是金-亮声open
8.2w,818,6w,为爱冒险-冷漠
9900,93,2.7w,幼女幻奏
2462,11,3053,来吧展示
1.1w,113,3w,知我
7362,442,6.8w,玛尼情歌
4508,630,2.1w,Summer
1.4w,253,3.6w,6 Moments Musicaux
5.1w,138,2w,帝国进行曲
1096,22,6w,Back In Black
49.3w,548,7.5w,Micmacs a la gare
115w,1.4w,65.9w,再见
8.1w,290,4.6w,蓝色海黑色河+灰色轨迹
2.5w,629,19.9w,开始懂了-藤竹京
7256,79,6.4w,2019SS2
5352,99,2.3w,想起了你-程响
3483,58,3w,Nevada
1.3w,177,1.7w,We will rock you
2.2w,197,1.1w,滚筒洗衣机
8w,1288,2.1w,海底
4809,653,5236,鸟鸣声-Jamie
8464,101,2.1w,怎么过怎么做活
8018,250,1.4w,寂静深林鸟鸣
1170,15,3.6w,Nevada
2w,586,2.9w,流泪的情人
9854,733,1.1w,星月糖
3977,63,5607,鳌拜鳌拜凤舞九天
1974,33,1.1w,7 Days
